Año,Mes,Casos recibidos,Casos recibidos Hombres,Casos recibidos Mujeres,Reclamaciones,Reconsideraciones,Completadas,Completadas Hombres,Completadas Mujeres,Pendientes,Desactivadas,Tiempo de respuesta (días) - Reclamaciones,Tiempo de respuesta (días) - Reconsideraciones,Sin Decisión,Con Decisión,Total favorable/desfavorable,Favorable,Favorable Hombres,Favorable Mujeres,Desfavorable,Desfavorable Hombres,Desfavorable Mujeres,% Favorable,% Desfavorable,Desestimada,Inadmisible, Monto instruido a devolver a favor del Usuario ,Monto instruido a devolver a favor de Hombres,Monto instruido a devolver a favor de Mujeres,Promedio por caso,Reclamaciones que implicaron acreditación,Acreditación - Hombres,Acreditación - Mujeres
2020,ago,129,72,57,128,1,63,32,31,364,7,52.33333,52.33333,0,63,60,34,19,15,26,14,12,0.5666666666666667,0.43333333333333335,0,3,853775.81,390482.06,463293.75,34151.032400000004,25,12,13
2020,sep,184,95,89,184,0,63,35,21,480,5,66.14286,66.14286,1,55,47,39,23,16,8,6,2,0.8297872340425532,0.1702127659574468,1,8,897793.62,707547.37,190246.25,33251.61555555555,27,17,10
2020,oct,211,116,95,211,0,164,89,75,516,11,78.33537,78.33537,0,164,147,82,40,42,65,39,26,0.5578231292517006,0.4421768707482993,0,17,11105608.82,1155068.96,9950539.86,150075.79486486487,74,36,38
2020,nov,235,127,108,235,0,140,64,76,605,6,98.92857,98.92857,0,140,138,116,52,64,22,10,12,0.8405797101449275,0.15942028985507245,0,2,3875745.12,1223935.67,2651809.45,35557.29467889908,109,48,61
2020,dic,296,143,153,294,2,116,69,47,776,9,99.50862,99.50862,8,108,107,72,37,35,35,26,9,0.6728971962616822,0.32710280373831774,8,1,1853541.83,956627.35,896914.4800000001,45208.33731707317,41,19,22
2021,ene,285,139,146,281,4,97,50,47,951,13,92.34694,92.34694,5,93,91,80,39,41,11,6,5,0.8791208791208791,0.12087912087912088,4,2,1013796.25,223408.45,790387.8,20275.925,50,20,30
2021,feb,312,145,167,311,1,267,144,123,980,16,99.97753,99.97753,5,263,259,198,107,91,61,31,30,0.7644787644787645,0.23552123552123552,4,4,6918451.92,3601778.81,3316673.11,47713.461517241376,145,75,70
2021,mar,377,173,204,373,4,512,266,246,834,11,90.70817,90.70817,3,509,480,345,175,170,135,74,61,0.71875,0.28125,3,29,16423605.38,9025446.29,7398159.089999999,58446.99423487545,281,141,140
2021,abr,356,152,204,351,5,420,209,211,762,8,75.69359,75.69359,0,420,399,288,148,140,111,55,56,0.7218045112781954,0.2781954887218045,0,21,5758620.88,3623056.75,2135564.13,23600.90524590164,244,121,123
2021,may,370,152,218,285,85,493,266,227,618,21,51.79757,51.79757,2,491,476,352,192,160,124,65,59,0.7394957983193278,0.2605042016806723,2,15,8661451.52,4736017.029999999,3925434.49,29662.50520547945,292,153,139
2021,jun,374,162,212,319,55,362,190,172,621,9,59.77901,59.77901,2,360,342,256,141,115,86,44,42,0.7485380116959064,0.25146198830409355,2,18,5808375.41,2609674.41,3198701.0,29634.568418367347,196,97,99
2021,jul,415,182,233,365,50,566,337,229,467,3,45.98236,45.98236,4,562,536,400,233,167,136,90,46,0.746268656716418,0.2537313432835821,4,26,9695172.299999999,6093323.859999999,3601848.44,32103.219536423836,302,152,150
2021,ago,372,173,199,325,47,242,133,109,594,3,37.16942,37.16942,4,238,230,178,98,80,52,28,24,0.7739130434782608,0.22608695652173913,4,8,6248912.26,4424239.87,1824672.39,40057.129871794874,156,86,70
2021,sep,343,163,180,310,33,419,232,187,515,3,43.74048,43.74048,1,418,400,283,151,132,117,73,44,0.7075,0.2925,1,18,6742477.060000001,2503999.01,4238478.05,28569.818050847465,236,117,119
2021,oct,308,123,185,263,45,352,190,162,471,0,43.64205,43.64205,2,350,324,237,123,114,87,47,40,0.7314814814814815,0.26851851851851855,2,26,6028873.17,4127621.609999999,1901251.56,28708.919857142857,210,106,104
2021,nov,371,178,193,346,25,344,191,153,497,1,41.54651,41.54651,7,337,321,226,122,104,95,55,40,0.7040498442367601,0.29595015576323985,7,16,5231782.15,2687693.81,2544088.339999999,24333.87046511628,215,112,103
2021,dic,341,177,164,316,25,289,157,132,546,3,43.43945,43.43945,6,283,271,179,93,86,92,55,37,0.6605166051660517,0.33948339483394835,6,12,28843245.89,4264951.27,24578294.62,206023.18492857143,140,61,79
2022,ene,381,205,176,357,24,378,172,206,545,4,52.25661,52.25661,2,376,358,255,103,152,103,60,43,0.7122905027932961,0.2877094972067039,2,18,8331582.85,3948448.64,4383134.210000001,35453.54404255319,235,92,143
2022,feb,430,234,196,400,30,379,207,172,595,1,39.62533,39.62533,2,377,353,227,120,107,126,73,53,0.6430594900849859,0.35694050991501414,2,24,8463887.58,4096901.54,4366986.04,42319.4379,200,95,105
2022,mar,464,270,194,399,65,542,301,241,512,5,38.49631,38.49631,5,537,505,360,199,161,145,83,62,0.7128712871287128,0.2871287128712871,5,32,11194112.38,5443143.88,5750968.5,34764.32416149069,322,166,156
2022,abr,422,254,168,346,76,389,223,166,541,4,36.8329,36.8329,5,384,360,258,145,113,102,63,39,0.7166666666666667,0.2833333333333333,5,24,12238151.93,7327183.030000001,4910968.899999999,58000.72004739336,211,109,102
2022,may,414,242,172,332,82,370,224,146,584,1,36.90617,36.90617,4,367,346,269,166,103,77,45,32,0.7774566473988439,0.22254335260115607,3,21,8509012.200000001,5973432.25,2535579.95,39761.739252336454,214,116,98
2022,jun,373,216,157,319,54,496,273,223,460,1,40.36492,40.36492,12,489,457,324,178,146,133,71,62,0.7089715536105032,0.2910284463894967,7,32,8166317.65,3756571.41,4409746.24,33745.11425619835,242,118,124
2022,jul,436,235,201,366,70,410,259,151,486,0,36.49512,36.49512,21,403,376,245,153,92,131,83,48,0.651595744680851,0.3484042553191489,7,27,5900406.989999999,3252929.69,2647477.3,35544.62042168674,166,87,79
2022,ago,502,286,216,425,77,368,204,164,618,2,34.22826,34.22826,11,359,332,207,108,99,125,76,49,0.6234939759036144,0.37650602409638556,9,27,5841034.98,2759016.72,3082018.26,35186.95771084337,166,72,94
2022,sep,419,220,199,374,45,460,259,201,575,2,40.19783,40.19783,6,457,436,264,153,111,172,92,80,0.6055045871559633,0.3944954128440367,3,21,9836097.38,6212616.36,3623481.02,52042.84328042329,189,90,99
2022,oct,457,258,199,395,62,470,249,221,561,1,39.98936,39.98936,6,464,435,274,146,128,161,86,75,0.6298850574712643,0.3701149425287356,6,29,12994141.9,6547625.53,6446516.37,58009.56205357143,224,107,117
